" ""local_time"": ""America/Chicago"""," ""electricity"": ""kW""}"
7/21/2019 9:00,0.032
7/21/2019 10:00,0.017
7/21/2019 11:00,0.011
7/21/2019 12:00,0.012
7/21/2019 13:00,0.018
7/21/2019 14:00,0.026
7/21/2019 15:00,0.031
7/21/2019 16:00,0.04
7/21/2019 17:00,0.059
7/21/2019 18:00,0.068
7/21/2019 19:00,0.101
7/21/2019 20:00,0.163
7/21/2019 21:00,0.163
7/21/2019 22:00,0.14
7/21/2019 23:00,0.117
7/22/2019 0:00,0.096
7/22/2019 1:00,0.078
7/22/2019 2:00,0.067
7/22/2019 3:00,0.063
7/22/2019 4:00,0.076
7/22/2019 5:00,0.092
7/22/2019 6:00,0.054
7/22/2019 7:00,0.029
7/22/2019 8:00,0.078
7/22/2019 9:00,0.112
7/22/2019 10:00,0.11
7/22/2019 11:00,0.093
7/22/2019 12:00,0.084
7/22/2019 13:00,0.08
7/22/2019 14:00,0.082
7/22/2019 15:00,0.085
7/22/2019 16:00,0.089
7/22/2019 17:00,0.097
7/22/2019 18:00,0.091
7/22/2019 19:00,0.108
7/22/2019 20:00,0.164
7/22/2019 21:00,0.188
7/22/2019 22:00,0.191
7/22/2019 23:00,0.174
7/23/2019 0:00,0.136
7/23/2019 1:00,0.115
7/23/2019 2:00,0.083
7/23/2019 3:00,0.073
7/23/2019 4:00,0.123
7/23/2019 5:00,0.167
7/23/2019 6:00,0.15
7/23/2019 7:00,0.181
7/23/2019 8:00,0.195
7/23/2019 9:00,0.17
7/23/2019 10:00,0.166
7/23/2019 11:00,0.185
7/23/2019 12:00,0.258
7/23/2019 13:00,0.386
7/23/2019 14:00,0.529
7/23/2019 15:00,0.613
7/23/2019 16:00,0.618
7/23/2019 17:00,0.583
7/23/2019 18:00,0.529
7/23/2019 19:00,0.492
7/23/2019 20:00,0.535
7/23/2019 21:00,0.501
7/23/2019 22:00,0.434
7/23/2019 23:00,0.334
7/24/2019 0:00,0.305
7/24/2019 1:00,0.223
7/24/2019 2:00,0.185
7/24/2019 3:00,0.177
7/24/2019 4:00,0.16
7/24/2019 5:00,0.204
7/24/2019 6:00,0.136
7/24/2019 7:00,0.145
7/24/2019 8:00,0.305
7/24/2019 9:00,0.243
7/24/2019 10:00,0.194
7/24/2019 11:00,0.201
7/24/2019 12:00,0.241
7/24/2019 13:00,0.274
7/24/2019 14:00,0.285
7/24/2019 15:00,0.282
7/24/2019 16:00,0.277
7/24/2019 17:00,0.274
7/24/2019 18:00,0.259
7/24/2019 19:00,0.338
7/24/2019 20:00,0.428
7/24/2019 21:00,0.437
7/24/2019 22:00,0.416
7/24/2019 23:00,0.355
